,country,corruption,humanFreedom,gdppc,happiness,healthcareRank,safeness,averageTemperature,continent,worldCorruptionRank,worldFreedomRank,worldGDPRank,worldHappinessRank,worldSafenessRank,worldTemperatureRank,continentCorruptionRank,continentFreedomRank,continentGDPRank,continentHappinessRank,continentHealthcareRank,continentSafenessRank,continentTemperatureRank
34,Colombia,39.0,7.01,14324.0,6.01,73.0,2.73,24.5,South America,92.0,99.0,87.0,61.0,145.0,67.0,3.0,10.0,7.0,5.0,6.0,10.0,5.0
35,Comoros,20.0,6.07,3048.0,4.29,125.0,,25.55,Africa,170.0,141.0,153.0,146.0,,40.0,46.0,32.0,28.0,31.0,21.0,,20.0
36,Costa Rica,58.0,8.25,19990.0,7.07,37.0,1.73,24.8,North America,42.0,38.0,67.0,17.0,39.0,60.0,8.0,4.0,7.0,2.0,3.0,2.0,14.0
37,Croatia,47.0,8.16,27717.0,5.88,42.0,1.44,10.9,Europe,67.0,43.0,54.0,70.0,14.0,133.0,29.0,28.0,32.0,31.0,27.0,10.0,9.0
38,Cuba,46.0,3.93,12300.0,,100.0,2.08,25.2,North America,68.0,182.0,99.0,,100.0,51.0,12.0,23.0,15.0,,12.0,7.0,9.0
39,Cyprus,53.0,8.42,40107.0,6.22,32.0,1.9,18.45,Europe,55.0,31.0,37.0,47.0,66.0,108.0,26.0,23.0,19.0,23.0,22.0,35.0,2.0
40,Czechia,54.0,8.61,40618.0,6.96,,1.32,7.55,Europe,52.0,25.0,34.0,20.0,7.0,155.0,24.0,18.0,18.0,13.0,,6.0,27.0
41,Côte d'Ivoire,36.0,6.9,5365.0,5.31,121.0,2.14,26.35,Africa,109.0,105.0,132.0,96.0,107.0,27.0,18.0,13.0,17.0,6.0,19.0,23.0,17.0
42,DR Congo,19.0,5.62,1106.0,5.34,157.0,3.17,24.0,Africa,175.0,159.0,180.0,92.0,160.0,71.0,49.0,41.0,48.0,4.0,47.0,49.0,29.0
43,Denmark,88.0,8.98,58932.0,7.62,1.0,1.3,7.5,Europe,1.0,3.0,10.0,2.0,5.0,156.0,1.0,2.0,5.0,2.0,1.0,4.0,28.0
44,Djibouti,30.0,5.84,5096.0,4.69,116.0,2.21,28.0,Africa,134.0,148.0,138.0,133.0,114.0,3.0,27.0,35.0,19.0,22.0,15.0,28.0,3.0
45,Dominica,55.0,7.95,11072.0,,,,22.35,North America,49.0,51.0,108.0,,,85.0,10.0,7.0,16.0,,,,19.0
46,Dominican Rep.,30.0,7.88,18608.0,5.54,71.0,1.99,24.55,North America,135.0,56.0,73.0,83.0,81.0,64.0,18.0,10.0,10.0,14.0,8.0,4.0,15.0
47,Ecuador,36.0,7.43,11009.0,5.76,87.0,1.99,21.85,South America,110.0,81.0,109.0,76.0,82.0,90.0,8.0,7.0,10.0,8.0,9.0,6.0,7.0
48,Egypt,33.0,4.49,12790.0,4.28,118.0,2.34,22.1,Africa,122.0,174.0,97.0,147.0,126.0,88.0,22.0,50.0,6.0,32.0,16.0,34.0,38.0
49,El Salvador,34.0,7.39,8422.0,6.06,91.0,2.23,24.45,North America,119.0,83.0,118.0,58.0,115.0,68.0,16.0,18.0,18.0,10.0,9.0,9.0,16.0
50,Eq. Guinea,17.0,5.25,17788.0,,128.0,1.86,24.55,Africa,177.0,167.0,75.0,,60.0,65.0,50.0,46.0,3.0,,23.0,7.0,27.0
51,Eritrea,22.0,4.17,1821.0,,156.0,2.49,25.5,Africa,166.0,177.0,172.0,,134.0,41.0,42.0,52.0,41.0,,46.0,37.0,21.0
52,Estonia,74.0,8.91,38834.0,6.19,21.0,1.66,5.1,Europe,15.0,4.0,40.0,48.0,34.0,169.0,11.0,3.0,22.0,24.0,13.0,24.0,35.0
53,Eswatini,32.0,5.79,8957.0,4.31,131.0,2.03,21.4,Africa,126.0,150.0,116.0,145.0,92.0,96.0,24.0,37.0,11.0,30.0,26.0,19.0,43.0
54,Ethiopia,39.0,5.95,2908.0,4.28,147.0,2.81,22.2,Africa,93.0,143.0,155.0,148.0,151.0,87.0,13.0,33.0,29.0,33.0,39.0,43.0,37.0
55,Fiji,55.0,7.36,11567.0,6.25,,,24.4,Oceania,50.0,85.0,105.0,45.0,,70.0,3.0,5.0,3.0,4.0,,,3.0
56,Finland,88.0,8.85,49853.0,7.84,5.0,1.44,1.7,Europe,2.0,7.0,22.0,1.0,15.0,173.0,2.0,5.0,13.0,1.0,5.0,11.0,38.0
57,France,71.0,8.34,46062.0,6.69,22.0,1.9,10.7,Europe,22.0,36.0,26.0,24.0,67.0,134.0,15.0,25.0,14.0,15.0,14.0,36.0,10.0
58,Gabon,31.0,6.8,15970.0,4.85,119.0,1.97,25.05,Africa,128.0,114.0,80.0,125.0,74.0,52.0,25.0,18.0,5.0,17.0,17.0,12.0,23.0
59,Gambia,37.0,6.88,2276.0,5.05,113.0,1.79,27.5,Africa,106.0,107.0,168.0,111.0,45.0,8.0,17.0,14.0,38.0,11.0,13.0,3.0,7.0
60,Georgia,55.0,8.2,14918.0,4.89,52.0,2.06,5.8,Asia,51.0,42.0,83.0,122.0,96.0,165.0,11.0,6.0,23.0,36.0,10.0,26.0,42.0
61,Germany,80.0,8.73,54076.0,7.16,8.0,1.46,8.5,Europe,10.0,15.0,19.0,12.0,16.0,149.0,8.0,12.0,11.0,10.0,7.0,12.0,23.0
62,Ghana,43.0,7.49,5693.0,5.09,97.0,1.76,27.2,Africa,78.0,79.0,129.0,107.0,42.0,9.0,9.0,6.0,16.0,9.0,8.0,2.0,8.0
63,Greece,49.0,7.86,28748.0,5.72,40.0,1.84,15.4,Europe,62.0,59.0,52.0,79.0,55.0,117.0,28.0,33.0,30.0,34.0,26.0,32.0,3.0
64,Grenada,53.0,7.7,15431.0,,,,26.65,North America,56.0,65.0,81.0,,,24.0,11.0,13.0,11.0,,,,2.0
65,Guatemala,25.0,7.63,8293.0,6.43,99.0,2.14,23.45,North America,155.0,73.0,120.0,35.0,108.0,79.0,20.0,16.0,19.0,5.0,11.0,8.0,18.0
66,Guinea,25.0,5.82,2604.0,4.98,136.0,2.33,25.7,Africa,156.0,149.0,160.0,116.0,124.0,36.0,38.0,36.0,33.0,13.0,29.0,33.0,19.0
67,Guinea-Bissau,21.0,6.63,2348.0,,144.0,2.16,26.75,Africa,167.0,121.0,166.0,,111.0,23.0,43.0,22.0,36.0,,36.0,25.0,15.0
68,Guyana,39.0,7.49,19684.0,,89.0,2.14,26.0,South America,94.0,80.0,68.0,,109.0,32.0,4.0,6.0,4.0,,10.0,8.0,1.0
69,Haiti,20.0,7.21,2916.0,3.62,152.0,2.25,24.9,North America,171.0,90.0,154.0,159.0,116.0,57.0,22.0,19.0,23.0,15.0,15.0,10.0,11.0
70,Honduras,23.0,7.09,5450.0,5.92,104.0,2.27,23.5,North America,163.0,96.0,131.0,69.0,118.0,78.0,21.0,20.0,22.0,13.0,13.0,11.0,17.0
71,Hong Kong,76.0,8.41,59520.0,5.48,17.0,,,Asia,12.0,32.0,9.0,85.0,,,2.0,3.0,4.0,19.0,2.0,,
72,Hungary,43.0,7.73,33030.0,5.99,45.0,1.41,9.75,Europe,79.0,64.0,45.0,62.0,13.0,140.0,32.0,35.0,26.0,29.0,28.0,9.0,15.0
73,Iceland,74.0,8.77,55596.0,7.55,11.0,1.11,1.75,Europe,16.0,12.0,16.0,4.0,1.0,172.0,12.0,9.0,8.0,4.0,10.0,1.0,37.0
74,India,40.0,6.39,6461.0,3.82,98.0,2.58,23.65,Asia,90.0,129.0,125.0,155.0,136.0,76.0,23.0,25.0,38.0,44.0,29.0,36.0,20.0
75,Indonesia,38.0,7.1,12222.0,5.34,56.0,1.8,25.85,Asia,102.0,95.0,100.0,93.0,49.0,33.0,26.0,15.0,28.0,24.0,14.0,11.0,10.0
76,Iran,25.0,4.53,13073.0,4.72,117.0,2.69,17.25,Asia,157.0,173.0,93.0,131.0,143.0,114.0,41.0,44.0,27.0,39.0,36.0,40.0,27.0
77,Iraq,23.0,5.02,10003.0,4.85,134.0,3.16,21.4,Asia,164.0,171.0,113.0,126.0,159.0,97.0,45.0,43.0,34.0,37.0,39.0,44.0,22.0
