,country,corruption,humanFreedom,gdppc,happiness,healthcareRank,safeness,averageTemperature,continent,worldCorruptionRank,worldFreedomRank,worldGDPRank,worldHappinessRank,worldSafenessRank,worldTemperatureRank,continentCorruptionRank,continentFreedomRank,continentGDPRank,continentHappinessRank,continentHealthcareRank,continentSafenessRank,continentTemperatureRank
150,Solomon Islands,43.0,7.53,2455.0,5.02,,,25.65,Oceania,82.0,78.0,163.0,115.0,,38.0,5.0,4.0,6.0,6.0,,,1.0
151,Somalia,13.0,4.93,925.0,4.67,159.0,3.12,27.05,Africa,183.0,172.0,183.0,134.0,158.0,15.0,52.0,49.0,51.0,23.0,48.0,48.0,12.0
152,South Africa,44.0,7.3,12032.0,4.96,85.0,2.28,17.75,Africa,76.0,87.0,102.0,117.0,119.0,111.0,7.0,8.0,7.0,14.0,4.0,29.0,50.0
153,South Korea,62.0,8.39,44621.0,5.84,28.0,1.78,11.5,Asia,34.0,33.0,27.0,73.0,44.0,129.0,8.0,4.0,10.0,16.0,5.0,9.0,34.0
154,South Sudan,11.0,3.8,791.0,2.82,163.0,3.18,,Africa,185.0,184.0,184.0,168.0,161.0,,53.0,53.0,52.0,49.0,51.0,50.0,
155,Spain,61.0,8.56,39121.0,6.49,24.0,1.6,13.3,Europe,36.0,26.0,39.0,31.0,29.0,122.0,18.0,19.0,21.0,17.0,16.0,20.0,6.0
156,Sri Lanka,37.0,6.58,13214.0,4.33,82.0,2.02,26.95,Asia,108.0,122.0,91.0,144.0,91.0,17.0,29.0,22.0,26.0,43.0,23.0,23.0,5.0
157,Sudan,20.0,4.48,4098.0,4.14,,3.01,26.9,Africa,173.0,175.0,144.0,151.0,156.0,18.0,47.0,51.0,23.0,36.0,,46.0,13.0
158,Suriname,39.0,7.64,14513.0,6.27,79.0,,25.7,South America,97.0,72.0,85.0,44.0,,37.0,5.0,4.0,6.0,3.0,8.0,,2.0
159,Sweden,85.0,8.83,54146.0,7.36,4.0,1.56,2.1,Europe,6.0,9.0,18.0,7.0,27.0,170.0,4.0,6.0,10.0,7.0,4.0,19.0,36.0
160,Switzerland,84.0,9.11,72874.0,7.57,3.0,1.36,5.5,Europe,7.0,1.0,5.0,3.0,11.0,168.0,5.0,1.0,3.0,3.0,3.0,8.0,34.0
161,Syria,13.0,3.66,2900.0,3.46,155.0,3.36,17.75,Asia,184.0,185.0,156.0,165.0,163.0,112.0,50.0,50.0,47.0,46.0,41.0,45.0,26.0
162,Taiwan,68.0,8.68,55724.0,6.58,20.0,1.62,,Asia,26.0,21.0,15.0,28.0,30.0,,6.0,2.0,7.0,5.0,4.0,6.0,
163,Tajikistan,25.0,5.52,3676.0,5.47,109.0,2.03,2.0,Asia,158.0,165.0,147.0,87.0,94.0,171.0,42.0,41.0,45.0,20.0,32.0,25.0,44.0
164,Tanzania,39.0,6.48,2821.0,3.62,114.0,2.0,22.35,Africa,98.0,124.0,157.0,160.0,85.0,86.0,15.0,24.0,30.0,42.0,14.0,17.0,36.0
165,Thailand,35.0,6.89,18236.0,5.99,63.0,2.1,26.3,Asia,118.0,106.0,74.0,63.0,104.0,28.0,31.0,17.0,20.0,13.0,17.0,30.0,9.0
166,Timor-Leste,41.0,7.22,3382.0,,,1.84,25.25,Asia,88.0,89.0,151.0,,56.0,50.0,22.0,11.0,46.0,,,13.0,15.0
167,Togo,30.0,6.5,2199.0,4.11,137.0,2.09,27.15,Africa,139.0,123.0,170.0,152.0,103.0,14.0,29.0,23.0,40.0,37.0,30.0,21.0,11.0
168,Trinidad and Tobago,41.0,7.7,25031.0,6.19,59.0,2.0,25.75,North America,89.0,66.0,59.0,49.0,86.0,35.0,14.0,14.0,6.0,8.0,5.0,6.0,5.0
169,Tunisia,44.0,6.46,10120.0,4.6,96.0,2.0,19.2,Africa,77.0,127.0,112.0,138.0,87.0,107.0,8.0,25.0,9.0,27.0,7.0,18.0,48.0
170,Turkey,38.0,5.79,30253.0,4.95,92.0,2.79,11.1,Asia,105.0,151.0,50.0,118.0,149.0,132.0,27.0,34.0,15.0,34.0,27.0,42.0,36.0
171,Turkmenistan,19.0,3.9,16520.0,5.07,106.0,2.12,15.1,Asia,176.0,183.0,79.0,109.0,106.0,119.0,46.0,49.0,22.0,30.0,31.0,31.0,29.0
172,U.A.E,69.0,6.06,58753.0,6.56,41.0,1.86,27.0,Asia,24.0,142.0,11.0,29.0,61.0,16.0,4.0,30.0,5.0,6.0,8.0,15.0,4.0
173,U.S.A,67.0,8.73,63416.0,6.95,18.0,2.44,8.55,North America,29.0,18.0,7.0,22.0,131.0,148.0,3.0,3.0,1.0,4.0,2.0,14.0,21.0
174,Uganda,27.0,6.32,2574.0,4.64,130.0,2.31,22.8,Africa,150.0,132.0,162.0,135.0,122.0,81.0,35.0,28.0,34.0,24.0,25.0,31.0,32.0
175,Ukraine,32.0,6.86,13110.0,4.88,90.0,2.97,8.3,Europe,127.0,109.0,92.0,124.0,155.0,152.0,40.0,39.0,40.0,41.0,39.0,38.0,25.0
176,United Kingdom,78.0,8.75,44117.0,7.06,13.0,1.67,8.45,Europe,11.0,14.0,28.0,19.0,36.0,151.0,9.0,11.0,15.0,12.0,12.0,26.0,24.0
177,Uruguay,73.0,8.36,22459.0,6.43,38.0,1.79,17.55,South America,21.0,35.0,62.0,37.0,46.0,113.0,1.0,2.0,2.0,1.0,2.0,1.0,10.0
178,Uzbekistan,28.0,4.23,7449.0,6.18,95.0,2.0,12.05,Asia,147.0,176.0,123.0,51.0,88.0,125.0,38.0,45.0,37.0,10.0,28.0,20.0,32.0
179,Vanuatu,45.0,7.69,2586.0,7.07,,,23.95,Oceania,74.0,67.0,161.0,18.0,,72.0,4.0,3.0,5.0,3.0,,,4.0
180,Venezuela,14.0,4.03,5178.0,4.89,143.0,2.8,25.35,South America,182.0,180.0,136.0,123.0,150.0,46.0,12.0,12.0,12.0,11.0,12.0,11.0,3.0
181,Vietnam,39.0,5.9,10869.0,5.41,72.0,1.79,24.45,Asia,99.0,146.0,110.0,89.0,47.0,69.0,25.0,32.0,32.0,21.0,20.0,10.0,18.0
182,Yemen,16.0,4.08,1927.0,3.66,161.0,3.39,23.85,Asia,181.0,179.0,171.0,158.0,164.0,73.0,49.0,47.0,49.0,45.0,43.0,46.0,19.0
183,Zambia,33.0,6.82,3342.0,4.07,120.0,1.84,21.4,Africa,125.0,112.0,152.0,153.0,57.0,98.0,23.0,16.0,27.0,38.0,18.0,6.0,44.0
184,Zimbabwe,23.0,5.6,2622.0,3.15,140.0,2.35,21.0,Africa,165.0,160.0,159.0,167.0,128.0,100.0,41.0,42.0,32.0,48.0,33.0,35.0,45.0
